# Time,     Fx,      Fy,      Fz,      Mx,      My,      Mz						
# (s)       (N)      (N)      (N)      (N-m)    (N-m)    (N-m)						
300	0	      0	        0       0       0	0
300.01	0             0	        0	0	0	0
300.02	0	-123.0768844	0	0	0	0
300.03	0	-246.1537688	0	0	0	0
300.04	0	-246.1537688	0	0	0	0
300.05	0	-246.1537688	0	0	0	0
300.06	0	-246.1537688	0	0	0	0
300.07	0	-246.1537688	0	0	0	0
300.08	0	-246.1537688	0	0	0	0
300.09	0	-246.1537688	0	0	0	0
300.1	0	-246.1537688	0	0	0	0
300.11	0	-246.1537688	0	0	0	0
300.12	0	-246.1537688	0	0	0	0
300.13	0	-246.1537688	0	0	0	0
300.14	0	-246.1537688	0	0	0	0
300.15	0	-246.1537688	0	0	0	0
300.16	0	-246.1537688	0	0	0	0
300.17	0	-246.1537688	0	0	0	0
300.18	0	-246.1537688	0	0	0	0
300.19	0	-246.1537688	0	0	0	0
300.2	0	-246.1537688	0	0	0	0
300.21	0	-246.1537688	0	0	0	0
300.22	0	-246.1537688	0	0	0	0
300.23	0	-246.1537688	0	0	0	0
300.24	0	-246.1537688	0	0	0	0
300.25	0	-246.1537688	0	0	0	0
300.26	0	-246.1537688	0	0	0	0
300.27	0	-246.1537688	0	0	0	0
300.28	0	-246.1537688	0	0	0	0
300.29	0	-246.1537688	0	0	0	0
300.3	0	-246.1537688	0	0	0	0
300.31	0	-246.1537688	0	0	0	0
300.32	0	-246.1537688	0	0	0	0
300.33	0	-246.1537688	0	0	0	0
300.34	0	-246.1537688	0	0	0	0
300.35	0	-246.1537688	0	0	0	0
300.36	0	-246.1537688	0	0	0	0
300.37	0	-246.1537688	0	0	0	0
300.38	0	-246.1537688	0	0	0	0
300.39	0	-246.1537688	0	0	0	0
300.4	0	-246.1537688	0	0	0	0
300.41	0	-246.1537688	0	0	0	0
300.42	0	-246.1537688	0	0	0	0
300.43	0	-246.1537688	0	0	0	0
300.44	0	-246.1537688	0	0	0	0
300.45	0	-246.1537688	0	0	0	0
300.46	0	-246.1537688	0	0	0	0
300.47	0	-246.1537688	0	0	0	0
300.48	0	-246.1537688	0	0	0	0
300.49	0	-246.1537688	0	0	0	0
300.5	0	-246.1537688	0	0	0	0
300.51	0	-246.1537688	0	0	0	0
300.52	0	-246.1537688	0	0	0	0
300.53	0	-123.0768844	0	0	0	0
300.54	0	-123.0768844	0	0	0	0
300.55	0	-123.0768844	0	0	0	0
300.56	0	-123.0768844	0	0	0	0
300.57	0	-123.0768844	0	0	0	0
300.58	0	-123.0768844	0	0	0	0
300.59	0	-123.0768844	0	0	0	0
300.6	0	-123.0768844	0	0	0	0
300.61	0	-123.0768844	0	0	0	0
300.62	0	-123.0768844	0	0	0	0
300.63	0	-123.0768844	0	0	0	0
300.64	0	-123.0768844	0	0	0	0
300.65	0	-123.0768844	0	0	0	0
300.66	0	-123.0768844	0	0	0	0
300.67	0	-123.0768844	0	0	0	0
300.68	0	-123.0768844	0	0	0	0
300.69	0	-123.0768844	0	0	0	0
300.7	0	-123.0768844	0	0	0	0
300.71	0	-123.0768844	0	0	0	0
300.72	0	-123.0768844	0	0	0	0
300.73	0	-123.0768844	0	0	0	0
300.74	0	-123.0768844	0	0	0	0
300.75	0	-123.0768844	0	0	0	0
300.76	0	-123.0768844	0	0	0	0
300.77	0	-123.0768844	0	0	0	0
300.78	0	-123.0768844	0	0	0	0
300.79	0	-123.0768844	0	0	0	0
300.8	0	-123.0768844	0	0	0	0
300.81	0	-123.0768844	0	0	0	0
300.82	0	-123.0768844	0	0	0	0
300.83	-123.0768844	-123.0768844	0	0	0	0
300.84	-123.0768844	-123.0768844	0	0	0	0
300.85	-123.0768844	-123.0768844	0	0	0	0
300.86	-123.0768844	-123.0768844	0	0	0	0
300.87	-123.0768844	-123.0768844	0	0	0	0
300.88	-123.0768844	-123.0768844	0	0	0	0
300.89	-123.0768844	-123.0768844	0	0	0	0
300.9	-123.0768844	-123.0768844	0	0	0	0
300.91	-123.0768844	-123.0768844	0	0	0	0
300.92	-123.0768844	-123.0768844	0	0	0	0
300.93	-123.0768844	-123.0768844	0	0	0	0
300.94	-123.0768844	-123.0768844	0	0	0	0
300.95	-123.0768844	-123.0768844	0	0	0	0
300.96	-123.0768844	-123.0768844	0	0	0	0
300.97	-123.0768844	-123.0768844	0	0	0	0
300.98	-123.0768844	-123.0768844	0	0	0	0
300.99	-123.0768844	-123.0768844	0	0	0	0
301	-123.0768844	-123.0768844	0	0	0	0
301.01	-123.0768844	-123.0768844	0	0	0	0
301.02	-123.0768844	-123.0768844	0	0	0	0
301.03	-123.0768844	-123.0768844	0	0	0	0
301.04	-123.0768844	-123.0768844	0	0	0	0
301.05	-123.0768844	-123.0768844	0	0	0	0
